cryosleep,vip,side,destination_55_cancri_e,destination_pso_j318_5_22,destination_trappist_1e,homeplanet_earth,homeplanet_europa,homeplanet_mars,age,roomservice,foodcourt,shoppingmall,spa,vrdeck,transported
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2151898734177215,0.0,0.0431050030660462,0.0013195981610761,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4683544303797468,0.1008064516129032,0.0,0.0034054146092286,0.0021537798836958,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4050632911392405,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2658227848101265,0.0649193548387096,0.0,0.0,0.0,8.287407284631003e-05,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1898734177215189,0.0,0.0220033906864336,0.0113655712583006,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3924050632911392,0.0922379032258064,0.0,0.0558913672739656,0.0199224639241869,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5189873417721519,0.0399193548387096,0.0,0.027796696747829,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3797468354430379,0.0535282258064516,0.0291094037441835,0.0014898688915375,0.0107688994184794,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4810126582278481,0.0066532258064516,0.0,0.0421845734718201,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.050632911392405,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2531645569620253,0.0,0.0018756988781877,0.0,0.0059228946801636,0.0254423403638171,0.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.569620253164557,0.0002016129032258,0.0121920427082206,0.013068278562915,0.0034460478139134,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5822784810126582,0.0,0.1254193269126718,0.0,5.384449709239716e-05,0.2296854928935482,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7341772151898734,0.0055443548387096,0.0,0.0321811680572109,0.0132457462847297,0.0041437036423155,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2784810126582278,0.0810483870967742,0.0,0.0160905840286054,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3797468354430379,0.0,0.0178552104750568,0.0,0.0,0.0063398665727427,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3544303797468354,0.0549395161290322,0.0,0.0213264089902945,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2278481012658227,0.0,0.0006492803809111,0.0031074408309211,0.1149041567951755,0.0010359259105788,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.240506329113924,0.0,0.0,0.0033628469266133,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7088607594936709,0.4731854838709677,0.0,0.1132726034394687,0.0027460693517122,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3924050632911392,0.0023185483870967,0.0,0.0,0.0,0.0007044296191936,0.0
