international_plan,voice_mail_plan,area_code_408,area_code_415,area_code_510,region_Midwest,region_Northeast,region_South,region_West,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5578512396694215,0.0,0.7320410490307868,0.5625,0.7320590207914152,0.6326642837503437,0.611764705882353,0.6328049175024264,0.2843723313407344,0.3684210526315789,0.2841772151898734,0.455,0.5,0.4555555555555555,0.3333333333333333,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3760330578512397,0.0,0.3985176738882555,0.6125,0.3985580147551978,0.4808908441022821,0.8411764705882353,0.4810740860562924,0.4494733845715912,0.7669172932330826,0.449367088607595,0.47,0.35,0.4703703703703703,0.2222222222222222,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6115702479338844,0.0,0.5909350057012543,0.71875,0.5908786049631121,0.5455045367060765,0.4823529411764706,0.5454545454545454,0.2003985197836607,0.3759398496240601,0.2,0.43,0.2,0.4296296296296296,0.1111111111111111,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3842975206611571,0.0,0.3383694412770809,0.5625,0.3383635144198524,0.5639263128952433,0.3352941176470588,0.5638951795535425,0.3657842300028465,0.5037593984962405,0.3658227848101266,0.52,0.3,0.5203703703703704,0.3333333333333333,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4008264462809917,0.0,0.8212656784492589,0.6312500000000001,0.8212608987256874,0.3791586472367336,0.5470588235294117,0.3791653186670981,0.4634215769997153,0.4135338345864661,0.4632911392405063,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2975206611570248,0.94,0.4951539338654503,0.7312500000000001,0.4951374916163649,0.560901842177619,0.6705882352941176,0.5609835004852799,0.372615997722744,0.4586466165413533,0.3727848101265823,0.315,0.15,0.3148148148148147,0.2222222222222222,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6198347107438017,0.0,0.499714937286203,0.6625000000000001,0.4996646545942321,0.3967555677756393,0.5117647058823529,0.3969589129731478,0.3316253914033589,0.4135338345864661,0.3316455696202532,0.5900000000000001,0.25,0.5907407407407407,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3760330578512397,0.94,0.403648802736602,0.59375,0.403588195841717,0.5716249656310146,0.7647058823529411,0.5716596570689098,0.4551665243381724,0.4661654135338345,0.4550632911392406,0.51,0.55,0.5092592592592592,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1776859504132231,0.0,0.685005701254276,0.9125,0.6849429912810195,0.4525708001099807,0.488235294117647,0.4526043351666127,0.560774267008255,0.5488721804511278,0.5607594936708862,0.53,0.1,0.5296296296296296,0.1111111111111111,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5330578512396694,0.0,0.6074686431014823,0.65625,0.6074782025486251,0.5669507836128678,0.6352941176470588,0.567130378518279,0.340734415029889,0.4511278195488722,0.340506329113924,0.445,0.15,0.4444444444444444,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4380165289256199,0.64,0.3825541619156214,0.6312500000000001,0.3824614352783367,0.5826230409678307,0.8529411764705882,0.5826593335490133,0.3526900085397096,0.7894736842105263,0.3525316455696203,0.41,0.25,0.4092592592592592,0.1111111111111111,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0743801652892562,0.0,0.5305017103762828,0.6125,0.5305164319248826,0.6992026395380808,0.3352941176470588,0.6994500161759949,0.4847708511243951,0.7067669172932329,0.4848101265822786,0.73,0.35,0.7296296296296296,0.2222222222222222,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0619834710743801,0.0,0.3135689851767388,0.56875,0.3135479543930248,0.4050041242782513,0.4411764705882353,0.4050469103849887,0.4178764588670652,0.3007518796992481,0.4177215189873418,0.32,0.35,0.3203703703703703,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4752066115702479,0.7000000000000001,0.5712656784492589,0.65,0.5712608987256875,0.7500687379708552,0.5235294117647059,0.7502426399223553,0.4861941360660404,0.5037593984962405,0.4860759493670886,0.415,0.2,0.4148148148148148,0.1111111111111111,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6446280991735538,0.58,0.6248574686431014,0.6375000000000001,0.6247484909456741,0.5664008798460269,0.6411764705882352,0.5664833387253316,0.4232849416453174,0.631578947368421,0.4234177215189874,0.75,0.25,0.7499999999999999,0.1111111111111111,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.268595041322314,0.7000000000000001,0.5438996579247435,0.625,0.5439302481556003,0.7184492713775089,0.5470588235294117,0.7185376900679392,0.4719612866495873,0.5639097744360901,0.4721518987341773,0.445,0.3,0.4444444444444444,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.871900826446281,0.0,0.3591790193842645,0.6000000000000001,0.3591549295774648,0.3967555677756393,0.4705882352941176,0.3969589129731478,0.7375462567606035,0.518796992481203,0.737974683544304,0.38,0.15,0.3796296296296296,0.1111111111111111,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3760330578512397,0.46,0.4771949828962372,0.51875,0.47719651240778,0.7110255705251581,0.7588235294117647,0.7110967324490456,0.2069456305152291,0.5789473684210527,0.2069620253164557,0.5599999999999999,0.15,0.5592592592592592,0.4444444444444444,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.256198347107438,0.0,0.6020524515393386,0.5,0.601945003353454,0.6535606268902941,0.5470588235294117,0.6535101908767389,0.6134358098491317,0.18796992481203,0.6132911392405064,0.6150000000000001,0.1,0.6148148148148147,0.0,0.0
