temperature,humidity,light,co2,humidityratio,target
0.6271186440677967,0.9378500933582292,0.2615996464869642,0.9695526325431444,0.9656555945322384,1.0
0.1670702179176757,0.3539610562816753,0.0,0.1492690433444473,0.2775994458447874,0.0
0.460048426150121,0.8108829021072288,0.0,0.6819697358296999,0.7645120796612352,0.0
0.1049233252623,0.2272606028274206,0.0,0.0377874668718471,0.1616052693421572,0.0
0.1428571428571423,0.3064817284609229,0.0,0.1005385996409335,0.2333200443599232,0.0
0.3147699757869251,0.2240597492664711,0.0,0.2183465845943401,0.2558147350835016,0.0
0.1008878127522274,0.2372188139059274,0.0,0.0400102590407797,0.1665824981487071,0.0
0.5811138014527852,0.8622743842802558,0.2468699366622477,0.8000341968025955,0.8776312547693723,1.0
0.4842615012106535,0.5868231528407577,0.323169833554279,0.6886381123364964,0.6101222500229118,1.0
0.2179176755447942,0.4801280341424383,0.0,0.2421133624006154,0.3907665448798121,0.0
0.0266343825665851,0.1173646305681512,0.2445131830902931,0.0444216465760451,0.0532707995040218,1.0
0.0968523002421308,0.2133902373966392,0.0,0.0338548345729674,0.1485378021404464,0.0
0.1670702179176757,0.0704187783408909,0.0,0.0490724117295029,0.0809940188253968,0.0
0.128329297820823,0.0309415844225129,0.0,0.0343677866119517,0.0374208744246793,0.0
0.7336561743341408,0.6828487596692452,0.2645455884519075,0.6945370607848165,0.8303508783066795,1.0
0.128329297820823,0.0309415844225129,0.0,0.0292382662221082,0.0374208744246793,0.0
0.2947941888619851,0.5462790077353961,0.2733834143467374,0.5693767632726339,0.4774993003538421,1.0
0.0726392251815974,0.0106695118698318,0.0,0.0225698897153116,0.0006437194936315,0.0
0.3244552058111374,0.5994131768471598,0.2716158491677714,0.6068222621184918,0.5316214841406568,1.0
0.3675544794188869,0.6401707121899176,0.2851671822065105,0.7098230315465504,0.584851690871298,1.0
0.3535108958837769,0.611363030141371,0.2822212402415672,0.6429340856629904,0.556093600486252,1.0
0.3041162227602907,0.5580154707922111,0.2669023420238621,0.5834316491408054,0.4908637337351997,1.0
0.1265133171912831,0.042678047479328,0.0,0.0323159784560143,0.0447110777979717,0.0
0.1428571428571423,0.3094158442251267,0.0,0.1065230400957507,0.2353427869550888,0.0
0.1670702179176757,0.0789543878367564,0.0,0.0574506283662477,0.0869087858057298,0.0
0.3795399515738493,0.6428380901573756,0.2917955516276329,0.718132854578097,0.5934537173175842,1.0
0.3470540758676268,0.707388636969859,0.0,0.530221424296828,0.6224456395837379,0.0
0.5811138014527852,0.3094158442251267,0.2551185741640889,0.4193382918697101,0.4506829541515986,1.0
0.7675544794188864,0.6711122966124301,0.2733834143467374,0.6802769941010514,0.8415820146642758,1.0
0.1210653753026633,0.022939450520139,0.0,0.0299222022740877,0.0289165746874233,0.0
0.7990314769975786,0.6295012003200853,0.2621888348799528,0.6423185432162091,0.8269300264339319,1.0
0.2421307506053267,0.3488930381435051,0.277036382383267,0.3599897409592202,0.3102051598746178,1.0
0.7021791767554486,0.4161109629234465,0.3865075858005597,0.5796358040523211,0.5988482648256968,1.0
0.7990314769975786,0.6295012003200853,0.2674915304168508,0.6399076686329828,0.8269300264339319,1.0
0.0460048426150123,0.042678047479328,0.0,0.0115414208771479,0.0113013372767354,0.0
0.6351896690879677,0.3513825909131292,0.4024156724112535,0.5480037616482862,0.5115589261571496,1.0
0.0526634382566584,0.0312083222192582,0.0,0.0033341882533983,0.0063255040659631,0.0
0.1428571428571423,0.2870098692984797,0.2551185741640889,0.2516029751218261,0.219897076262618,1.0
0.823244552058112,0.5590824219791943,0.308882015024304,0.5360348807386508,0.7838468067502777,1.0
0.0907990314769975,0.0,0.0,0.015901513208515,0.0008229383622733,0.0
0.2421307506053267,0.5110696185649508,0.0,0.271693596648713,0.4249625328147028,0.0
0.2421307506053267,0.573219525206722,0.0,0.3313670171838933,0.4689634144784245,0.0
0.2239709443099276,0.4801280341424383,0.0,0.2503205950243651,0.3938339518098588,0.0
0.2639225181598057,0.6134969325153379,0.0,0.3860477045396255,0.5091385566819717,0.0
0.2179176755447942,0.1312349959989327,0.0,0.0996152859707618,0.1455599916035901,0.0
0.1937046004842617,0.4412910109362498,0.0,0.1995383431649141,0.3513932792683194,0.0
0.5060532687651333,0.560860673957503,0.3297491039426525,0.6492262973411951,0.6026446196421302,1.0
0.1428571428571423,0.3070685516137637,0.0,0.1125416773531675,0.2337245907088909,0.0
0.7481840193704601,0.620698853027474,0.3044631020768891,0.6747884072839188,0.7891264434195473,1.0
0.0726392251815974,0.0309415844225129,0.0,0.0112849448576557,0.0143508107264327,0.0
0.11501210653753,0.253134169111763,0.0,0.0379584508848422,0.1838458216544263,0.0
0.0526634382566584,0.0256068284875965,0.0,0.0061554244678122,0.0025573328395149,0.0
0.0460048426150123,0.042678047479328,0.0,0.0051295203898435,0.0113013372767354,0.0
0.4842615012106535,0.2870098692984797,0.0,0.3332478413268356,0.3844030767477913,0.0
0.0460048426150123,0.042678047479328,0.0,0.0044113875352654,0.0113013372767354,0.0
0.0968523002421308,0.0106695118698318,0.0,0.0284688381636317,0.0105528690030902,0.0
0.1670702179176757,0.3094158442251267,0.0,0.1249893134991874,0.2466952593132287,0.0
0.7307506053268771,0.3841024273139504,0.3632935631168066,0.4666837650679661,0.589000868859022,1.0
0.1428571428571423,0.2870098692984797,0.2551185741640889,0.2469351115670685,0.219897076262618,1.0
0.3849878934624691,0.72445985596159,0.0,0.5760451397794306,0.6564665210889289,0.0
